bi	date	dis	neg	pos	ssi
-0.78	2016-12-09	0.63	1282.00	587.00	-695.00
-0.48	2016-12-10	0.76	226.00	139.00	-87.00
-0.31	2016-12-11	0.85	158.00	116.00	-42.00
-1.24	2016-12-12	0.45	4082.00	1186.00	-2896.00
-0.89	2016-12-13	0.58	1878.00	772.00	-1106.00
-0.76	2016-12-14	0.64	1605.00	747.00	-858.00
-0.85	2016-12-15	0.60	2062.00	879.00	-1183.00
-0.66	2016-12-16	0.68	1014.00	523.00	-491.00
-0.53	2016-12-17	0.74	226.00	133.00	-93.00
-0.53	2016-12-18	0.74	199.00	117.00	-82.00
-0.94	2016-12-19	0.56	1000.00	390.00	-610.00
-1.02	2016-12-20	0.53	1932.00	695.00	-1237.00
-0.58	2016-12-21	0.72	965.00	542.00	-423.00
-0.81	2016-12-22	0.62	938.00	418.00	-520.00
-1.09	2016-12-23	0.50	2081.00	699.00	-1382.00
-0.78	2016-12-24	0.63	270.00	123.00	-147.00
-0.34	2016-12-25	0.83	244.00	174.00	-70.00
-0.96	2016-12-26	0.55	1759.00	671.00	-1088.00
-0.69	2016-12-27	0.67	830.00	416.00	-414.00
-1.04	2016-12-28	0.52	1568.00	555.00	-1013.00
-1.00	2016-12-29	0.54	1666.00	612.00	-1054.00
-0.90	2016-12-30	0.58	1460.00	595.00	-865.00
-0.08	2016-12-31	0.96	172.00	158.00	-14.00
-0.19	2017-01-01	0.90	180.00	148.00	-32.00
-0.17	2017-01-02	0.91	298.00	250.00	-48.00
-0.34	2017-01-03	0.83	706.00	502.00	-204.00
-0.34	2017-01-04	0.83	595.00	424.00	-171.00
-0.74	2017-01-05	0.64	727.00	345.00	-382.00
-0.86	2017-01-06	0.59	1164.00	491.00	-673.00
-0.35	2017-01-07	0.83	196.00	138.00	-58.00
-0.45	2017-01-08	0.78	213.00	136.00	-77.00
-0.44	2017-01-09	0.78	623.00	399.00	-224.00
-0.63	2017-01-10	0.69	710.00	378.00	-332.00
-0.95	2017-01-11	0.56	1543.00	594.00	-949.00
-1.04	2017-01-12	0.52	1605.00	566.00	-1039.00
-0.99	2017-01-13	0.54	2513.00	930.00	-1583.00
-0.76	2017-01-14	0.64	341.00	159.00	-182.00
-0.40	2017-01-15	0.80	316.00	211.00	-105.00
-1.18	2017-01-16	0.47	4489.00	1375.00	-3114.00
-0.90	2017-01-17	0.58	1930.00	784.00	-1146.00
-0.90	2017-01-18	0.58	1236.00	504.00	-732.00
-0.98	2017-01-19	0.55	1483.00	556.00	-927.00
-0.59	2017-01-20	0.71	883.00	490.00	-393.00
-0.31	2017-01-21	0.84	140.00	102.00	-38.00
-0.41	2017-01-22	0.79	141.00	93.00	-48.00
-0.66	2017-01-23	0.68	623.00	320.00	-303.00
-0.75	2017-01-24	0.64	859.00	406.00	-453.00
-0.65	2017-01-25	0.69	722.00	377.00	-345.00
-0.81	2017-01-26	0.61	911.00	403.00	-508.00
-0.60	2017-01-27	0.70	127.00	69.00	-58.00
-0.64	2017-01-28	0.69	71.00	37.00	-34.00
-0.78	2017-01-29	0.62	84.00	38.00	-46.00
-0.18	2017-01-30	0.91	53.00	44.00	-9.00
-0.91	2017-01-31	0.57	121.00	48.00	-73.00
-0.25	2017-02-01	0.88	72.00	56.00	-16.00
-0.46	2017-02-02	0.77	173.00	109.00	-64.00
-1.07	2017-02-03	0.51	1580.00	542.00	-1038.00
-0.79	2017-02-04	0.62	240.00	108.00	-132.00
-0.37	2017-02-05	0.82	185.00	128.00	-57.00
-0.54	2017-02-06	0.73	692.00	402.00	-290.00
-0.88	2017-02-07	0.59	974.00	403.00	-571.00
-0.68	2017-02-08	0.67	937.00	475.00	-462.00
-0.50	2017-02-09	0.75	681.00	412.00	-269.00
-0.60	2017-02-10	0.71	871.00	479.00	-392.00
-0.25	2017-02-11	0.87	164.00	127.00	-37.00
-0.26	2017-02-12	0.87	154.00	118.00	-36.00
-0.49	2017-02-13	0.76	599.00	368.00	-231.00
-0.58	2017-02-14	0.72	693.00	386.00	-307.00
-0.86	2017-02-15	0.59	1155.00	489.00	-666.00
-0.71	2017-02-16	0.66	962.00	472.00	-490.00
-1.02	2017-02-17	0.53	2217.00	799.00	-1418.00
-0.43	2017-02-18	0.79	178.00	116.00	-62.00
-0.52	2017-02-19	0.75	185.00	110.00	-75.00
-0.52	2017-02-20	0.74	789.00	468.00	-321.00
-0.47	2017-02-21	0.77	602.00	374.00	-228.00
-0.48	2017-02-22	0.76	680.00	421.00	-259.00
-0.66	2017-02-23	0.68	891.00	460.00	-431.00
-0.63	2017-02-24	0.70	745.00	397.00	-348.00
-0.26	2017-02-25	0.87	159.00	122.00	-37.00
-0.32	2017-02-26	0.84	222.00	161.00	-61.00
-0.87	2017-02-27	0.59	1299.00	546.00	-753.00
-0.68	2017-02-28	0.67	818.00	415.00	-403.00
-0.66	2017-03-01	0.68	838.00	432.00	-406.00
-0.89	2017-03-02	0.58	1642.00	677.00	-965.00
-0.82	2017-03-03	0.61	1125.00	496.00	-629.00
-0.39	2017-03-04	0.80	140.00	94.00	-46.00
-0.32	2017-03-05	0.84	169.00	123.00	-46.00
-0.32	2017-03-06	0.84	532.00	385.00	-147.00
-0.60	2017-03-07	0.71	688.00	376.00	-312.00
-0.66	2017-03-08	0.68	914.00	472.00	-442.00
-0.86	2017-03-09	0.59	1701.00	720.00	-981.00
-0.78	2017-03-10	0.63	1112.00	511.00	-601.00
-0.67	2017-03-11	0.67	217.00	110.00	-107.00
-0.40	2017-03-12	0.80	180.00	120.00	-60.00
-0.58	2017-03-13	0.72	1012.00	569.00	-443.00
-0.58	2017-03-14	0.72	743.00	415.00	-328.00
